product_id,name,manufacturer,batch_id,manufacture_date,current_location,status
PRD-9102,Component-9102,S4,TX00001,58:29.7,Chicago,FLAGGED
PRD-9435,Component-9435,S8,TX00002,58:29.7,Chicago,FLAGGED
PRD-9860,Component-9860,S6,TX00003,58:29.7,Chicago,FLAGGED
PRD-9270,Component-9270,S3,TX00004,58:29.7,NY,FLAGGED
PRD-9106,Component-9106,S4,TX00005,58:29.7,Chicago,VERIFIED
PRD-9071,Component-9071,S2,TX00006,58:29.7,LA,VERIFIED
PRD-9700,Component-9700,S1,TX00007,58:29.7,Chicago,FLAGGED
PRD-9020,Component-9020,S8,TX00008,58:29.7,SF,VERIFIED
PRD-9614,Component-9614,S1,TX00009,58:29.7,SF,VERIFIED
PRD-9121,Component-9121,S1,TX00010,58:29.7,Chicago,VERIFIED
PRD-9466,Component-9466,S4,TX00011,58:29.7,Chicago,VERIFIED
PRD-9214,Component-9214,S10,TX00012,58:29.7,LA,VERIFIED
PRD-9330,Component-9330,S10,TX00013,58:29.7,LA,FLAGGED
PRD-9458,Component-9458,S6,TX00014,58:29.7,NY,FLAGGED
PRD-9087,Component-9087,S9,TX00015,58:29.7,NY,VERIFIED
PRD-9372,Component-9372,S1,TX00016,58:29.7,SF,VERIFIED
PRD-9099,Component-9099,S7,TX00017,58:29.7,Chicago,FLAGGED
PRD-9871,Component-9871,S10,TX00018,58:29.7,Chicago,FLAGGED
PRD-9663,Component-9663,S5,TX00019,58:29.7,LA,FLAGGED
PRD-9130,Component-9130,S8,TX00020,58:29.7,LA,FLAGGED
PRD-9661,Component-9661,S7,TX00021,58:29.7,NY,FLAGGED
PRD-9308,Component-9308,S4,TX00022,58:29.7,NY,FLAGGED
PRD-9769,Component-9769,S4,TX00023,58:29.7,SF,VERIFIED
PRD-9343,Component-9343,S6,TX00024,58:29.7,LA,VERIFIED
PRD-9491,Component-9491,S6,TX00025,58:29.7,Chicago,FLAGGED
PRD-9413,Component-9413,S9,TX00026,58:29.7,LA,FLAGGED
