Transaction ID,Timestamp,Item ID,Supplier ID,Customer ID,Location,Temperature,Humidity,GPS Coordinates,Order Amount,Quantity Shipped,Order Status,Payment Status,Time to Delivery,Quantity Mismatch,Fraud Indicator,Transaction Hash,Smart Contract Status,Compliance Check
TX00001,58:29.7,9102,S4,C9,Chicago,12.24837449,67.45952273,"(36.4275, -116.2052)",2996,153,Pending,Overdue,6,12,0,0xc11a,Active,0
TX00002,58:29.7,9435,S8,C6,Chicago,18.9688538,41.8798829,"(38.3798, -106.2317)",1182,76,Delivered,Paid,4,9,1,0x7b36,Completed,0
TX00003,58:29.7,9860,S6,C2,Chicago,15.05012113,41.51462448,"(41.5735, -93.3818)",1939,63,Pending,Overdue,5,2,1,0x15ce,Triggered,0
TX00004,58:29.7,9270,S3,C2,NY,17.31040942,41.2660841,"(36.2805, -96.2122)",2439,74,Shipped,Paid,6,1,1,0x8be6,Triggered,1
TX00005,58:29.7,9106,S4,C3,Chicago,6.741710536,67.90596498,"(38.316, -87.2957)",2915,101,Shipped,Paid,1,10,0,0x8a2d,Active,1
TX00006,58:29.7,9071,S2,C1,LA,7.908521226,61.4454189,"(41.2176, -76.6833)",2237,189,Shipped,Overdue,2,14,0,0x6046,Active,1
TX00007,58:29.7,9700,S1,C9,Chicago,10.16162701,54.80969647,"(39.7431, -95.4339)",2052,72,Shipped,Paid,2,12,0,0xc3a7,Active,0
TX00008,58:29.7,9020,S8,C10,SF,7.823609833,67.02431632,"(35.7995, -101.8637)",2026,196,Shipped,Overdue,7,13,0,0xc392,Completed,1
TX00009,58:29.7,9614,S1,C4,SF,18.59697597,62.14417089,"(37.9103, -114.2233)",1324,169,Shipped,Paid,3,14,0,0x0426,Triggered,1
TX00010,58:29.7,9121,S1,C5,Chicago,8.253358205,40.29339362,"(36.0512, -75.6996)",2009,50,Shipped,Paid,4,9,0,0xf4c2,Triggered,1
TX00011,58:29.7,9466,S4,C7,Chicago,13.35775571,73.5419898,"(40.0535, -98.3097)",1778,175,Delivered,Paid,9,14,0,0x727e,Completed,1
TX00012,58:29.7,9214,S10,C1,LA,6.281808052,54.00737533,"(35.8083, -94.1949)",2789,182,Shipped,Paid,5,9,0,0xa1ea,Completed,1
TX00013,58:29.7,9330,S10,C3,LA,7.324427698,55.98245053,"(35.855, -111.3101)",1175,199,Pending,Paid,3,10,1,0x1cb0,Completed,0
